Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
IMU- Industry X- RES- Senior Manager,Accenture,13.0,Manager,Management,Mumbai,Maharashtra,India,Naukri
Application Developer,Accenture,8.5,Lead,Software Development,Mumbai,Maharashtra,India,Naukri
"Know Your Client (KYC) Analyst, NCT",Deutsche Bank,0.5,Entry,Other,Bengaluru,Karnataka,India,Naukri
Learner Success Manager,Simplilearn,1.0,Junior,Management,Bengaluru,Karnataka,India,Naukri
Urgent Hiring // Car Evaluation Engineer Bangalore // Field Job,Cars24,3.0,Junior,Software Development,Remote,Remote,Remote,Naukri
Hiring For international inbound customer support,Careernet,0.0,Entry,Other,,,,Naukri
Customer Care Executive,Muthoot Finance,21.5,Executive,Other,Bengaluru,Karnataka,India,Naukri
"Frontend Engineer II, IES Latency",Amazon,3.5,Mid-Level,Web Development,Bengaluru,Karnataka,India,Naukri
Network Operations Representative - Noida,2coms,2.5,Junior,Other,Noida,Uttar Pradesh,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Kolkata,West Bengal,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Mumbai,Maharashtra,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,New Delhi,Delhi,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Hyderabad,Telangana,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Pune,Maharashtra,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Chennai,Tamil Nadu,India,Naukri
Quality Specialist III,JPMorgan Chase Bank,3.5,Mid-Level,Other,Bengaluru,Karnataka,India,Naukri
Sales Executive,360 IT HUB PVT LTD.,1.0,Junior,Buisness Analytics,Bengaluru,Karnataka,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Kolkata,West Bengal,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Mumbai,Maharashtra,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,New Delhi,Delhi,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Hyderabad,Telangana,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Pune,Maharashtra,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Chennai,Tamil Nadu,India,Naukri
Finance Manager,Radisson Hotel Group,5.5,Mid-Level,Finance,Bengaluru,Karnataka,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Kolkata,West Bengal,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Mumbai,Maharashtra,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,New Delhi,Delhi,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Hyderabad,Telangana,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Pune,Maharashtra,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Chennai,Tamil Nadu,India,Naukri
Senior Consultant,Oracle,4.5,Mid-Level,Consulting,Bengaluru,Karnataka,India,Naukri
Customer Service Acct Mgmt Cons 4- Support (Outside CA),Oracle,8.0,Senior,Other,Kolkata,West Bengal,India,Naukri
Customer Service Acct Mgmt Cons 4- Support (Outside CA),Oracle,8.0,Senior,Other,Mumbai,Maharashtra,India,Naukri
