job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
MON0068,AI Platform Architect,Nokia India Private Limited,"Bengaluru, Noida",,,Artificial Intelligence / Machine Learning,Mid,7 - 12 Years,Monster
MON0069,Product Manager- AI/ ML,Nokia India Private Limited,"Bengaluru, Noida",,,Artificial Intelligence / Machine Learning,Manager,10 - 15 Years,Monster
MON0070,AI Project Manager,Nokia India Private Limited,"Bengaluru, Noida",,,Artificial Intelligence / Machine Learning,Manager,10 - 15 Years,Monster
MON0071,"Associate, ML Data Operations, GO-AI Operations",Amazon Development Centre (India) Private Limited,Delhi,,,Artificial Intelligence / Machine Learning,Mid,2 - 4 Years,Monster
MON0072,Machine Learning Engineer - A,Capgemini Technology Services India Limited,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,3 - 6 Years,Monster
MON0073,"Azure AI, Cognitive Services, Machine Learning, IoT",LTIMindtree Limited,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,3 - 8 Years,Monster
MON0074,Machine Learning,GlobalLogic Inc,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,5 - 10 Years,Monster
MON0075,"Software Engineer (Azure AI, Cognitive Services, Machine Learning, IoT)",LTIMindtree Limited,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,3 - 8 Years,Monster
MON0076,Machine Learning Engineer,Apple,"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Mid,3 - 5 Years,Monster
MON0077,Senior Machine Learning Engineer,Workassist,"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Senior,2 - 6 Years,Monster
MON0078,Artificial Intelligence and Machine Learning IOT,LTIMindtree Limited,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,3 - 6 Years,Monster
MON0079,Software Development Engineer II (Machine Learning),LivePerson,"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Senior,4 - 6 Years,Monster
MON0080,Senior Machine Learning Engineer,Electronic Arts (EA),"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Senior,5 - 7 Years,Monster
MON0081,Machine Learning Scientist,Flexi Careers India Private Limited,Remote,,,Artificial Intelligence / Machine Learning,Mid,3 - 7 Years,Monster
MON0082,Machine Learning Engineer,Workassist,"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Mid,2 - 6 Years,Monster
MON0083,Machine Learning Senior Analyst [T500-16859],Evernorth Health Services,"Hyderabad, India",,,Artificial Intelligence / Machine Learning,Senior,3 - 5 Years,Monster
MON0084,Urgent Hiring MLE (Machine Learning Engineer),Capgemini Technology Services India Limited,"Hyderabad, Kolkata",,,Artificial Intelligence / Machine Learning,Mid,3 - 8 Years,Monster
MON0085,Senior Software Engineer - Machine Learning Framework,Shantha Shankar ( Proprietor Of Koral Human Resource Consultants),Hyderabad,,,Artificial Intelligence / Machine Learning,Senior,4 - 9 Years,Monster
MON0086,Azure Machine Learning,PS Collaborations,Hyderabad,,,Artificial Intelligence / Machine Learning,Mid,5 - 8 Years,Monster
MON0087,Data Engineer - PySpark,Sulbikar Abbas (Proprietor Of Versatile Consultancy),Remote,,,Data Science / Analytics,Mid,3 - 5 Years,Monster
MON0088,Pyspark Developer,Cognizant Technology Solutions India Pvt Ltd,"Hyderabad, Bengaluru, Pune",,,Software Development,Mid,4 - 8 Years,Monster
MON0089,Pyspark Developer,SP Staffing Services Private Limited,"Bengaluru, Pune, Hyderabad",,,Software Development,Mid,4 - 6 Years,Monster
MON0090,Pyspark Developer,ValueLabs LLP,Bengaluru,,,Software Development,Mid,3 - 6 Years,Monster
MON0091,Pyspark Developer,ValueLabs LLP,"United Arab Emirates, Bengaluru",,,Software Development,Mid,3 - 9 Years,Monster
MON0092,Senior Engineer- Python Pyspark,Thales India Private Limited,Bengaluru,,,Software Development,Senior,3 - 6 Years,Monster
MON0093,"Data Engineer ( SQL, Pyspark, Databricks )",Gainwell Technologies LLC,Bengaluru,,,Data Science / Analytics,Mid,3 - 5 Years,Monster
MON0094,Senior Engineer- Python Pyspark,Thales,"Bengaluru, India",,,Software Development,Senior,3 - 5 Years,Monster
MON0095,Python/Spark/pySpark Big data Engineer,Viionn Labs,India,,,Data Science / Analytics,Mid,1 - 5 Years,Monster
MON0096,Big Data (Pyspark),Tata Consultancy Services Limited,Mumbai,,,Data Science / Analytics,Mid,4 - 8 Years,Monster
MON0097,Executive - PySpark,KPMG,Bengaluru,,,Other,Mid,0 - 5 Years,Monster
