job_id,job_title,company_name,location,experience,source
MON0483,Software Tester-Automation,PHOTON,"Delhi, Kolkata, Mumbai",3 - 10 Years,Monster
MON0484,QA Tester| QA Automation,PHOTON,"Delhi, Kolkata, Mumbai",3 - 7 Years,Monster
MON0485,"Technical Solutions Consultant, Ads, Authoring Automation, gTech",Google Inc,"Gurugram, Hyderabad",3 - 7 Years,Monster
MON0486,"Web Solutions Engineer I, Tools Development and Automation",Google Inc,Gurugram,2 - 7 Years,Monster
MON0487,BI Developer,STATS PERFORM,Remote,3 - 6 Years,Monster
MON0488,Data Scientist,Fidelity Investments,"Chennai, India",Fresher,Monster
MON0489,Data Scientist,Robotics Technologies,"Bengaluru, Chennai, Pune",5 - 10 Years,Monster
MON0490,Lead Data Scientist,ARi,"Chennai, India",7 - 10 Years,Monster
MON0491,Data Scientist for DMAI,Prodapt,"Chennai, India",Fresher,Monster
MON0492,"Principal, Data Scientist",Walmart Global Tech India,"Chennai, India",12 - 20 Years,Monster
MON0493,Data Scientist - BLR,PHOTON,"Hyderabad, Bengaluru, Chennai",6 - 9 Years,Monster
MON0494,Data Scientist,PHOTON,"Hyderabad, Bengaluru, Chennai",8 - 12 Years,Monster
MON0495,Data Scientist,HDFC,Chennai,8 - 13 Years,Monster
MON0496,AWS Data Scientist,Gsparks Technology Services Private Limited,"Delhi, Chennai, Bengaluru",INR 8 - 12 LPA,Monster
MON0497,Data Scientist,Robotics Technologies,"Bengaluru, Chennai, Pune",5 - 10 Years,Monster
MON0498,Data Scientist,PHOTON,Chennai,4 - 8 Years,Monster
MON0499,Data Scientist,PHOTON,"Hyderabad, Chennai, Pune",8 - 12 Years,Monster
MON0500,Data Scientist,PHOTON,"Hyderabad, Chennai, Pune",8 - 12 Years,Monster
MON0501,Senior Data Scientist Lead - Work from office,EXL,Chennai,8 - 13 Years,Monster
MON0502,Data Scientist,Kavi India,"Chennai, India",4 - 6 Years,Monster
MON0503,Sr. Data Engineer (FullStack Developer),SNN Analytics PVT LTD,"Ahmedabad, India",6 - 8 Years,Monster
MON0504,Senior Data Engineer( Python Data Engineer + Python Visualization),TalentBasket,Remote,7 - 15 Years,Monster
