job_id,job_title,company_name,location,source
TAL0306,HR- Recruiter / Manpower Supervisor - Blue Collar,ATMS,"Delhi, Delhi, India",Talent
TAL0307,Data Annotation Quality Analyst,hotsourced,"Delhi, IN",Talent
TAL0308,Automation Engineer,Readywire,"Delhi, IN",Talent
TAL0309,RPA Developer - Automation Anywhere,Follex Technology,"Delhi, IN",Talent
TAL0310,Talent Acquisition Specialist - Blue Collar,AKMV Consultants Pvt Ltd,"Delhi, DL, in",Talent
TAL0311,JDA / WMS Developer - Blue Yonder Platform,Coders Brain Technology Private Limited,"Delhi, IN",Talent
TAL0312,RPA Developer - Automation Anywhere / UiPath,QX GLOBAL SERVICES PRIVATE LIMITED,"Delhi, IN",Talent
TAL0313,Orthoptic Technologist - Oman,The Medical City for Military & Security Services,"Delhi, India, India",Talent
TAL0314,Practice Manager - Data Engineering,Hiring Prism LLP,Delhi,Talent
TAL0315,Power Platform Lead,Talent21 Management and Shared Service Pvt Ltd,"Delhi, IN",Talent
TAL0316,Production Chemist,Blue Panther,"Delhi, NCR",Talent
TAL0317,Oracle Functional Consultant,ELEGANCE GLOBAL IT SERVICES PRIVATE LIMITED,"Delhi, IN",Talent
TAL0318,Oracle HCM,Tata Consultancy Services,"Delhi, India, India",Talent
TAL0319,Oracle APEX Developer,Coders Brain Technology Private Limited,"Delhi, IN",Talent
TAL0320,Oracle Middleware Administrator,Oracle,"New Delhi, Delhi, India",Talent
TAL0321,Oracle UIM Developer,Longfinch Technologies,"Delhi, IN",Talent
TAL0322,Oracle HCM Technical,MPC Cloud Consulting Pvt Ltd,"Delhi, IN",Talent
TAL0323,Oracle Functional Consultant,TalentBridge,"Delhi, IN",Talent
TAL0324,Oracle HRMS Consultant,DWT Technology,"Delhi, IN",Talent
TAL0325,Oracle IDAM,Overture Rede,"Delhi, Delhi, India",Talent
TAL0326,Oracle Consultant,CrossTab IT Consulting,"Delhi, IN",Talent
TAL0327,Oracle EPM Architect,Thryve Digital Health LLP,"Delhi, IN",Talent
TAL0328,Oracle CPQ Consultant,K&K Talents - India,"Delhi, IN",Talent
TAL0329,Oracle Functional Consultant,Trantor,"Delhi, IN",Talent
TAL0330,Oracle EPM Consultant,Best Infosystems Ltd.,"Delhi, IN",Talent
TAL0331,Oracle Support Manager,"LanceSoft, Inc","Delhi, IN",Talent
TAL0332,Oracle CPQ Developer,NETM CORPORATE SOLUTIONS PRIVATE LIMITED,"Delhi, IN",Talent
TAL0333,Oracle Project Manager,Intellicore Consulting Group,"Delhi, IN",Talent
TAL0334,AGM - Customer Service Solutions,Golden Opportunities,"Delhi, IN",Talent
